id,start_ip_range,end_ip_range,is_fw,is_lp,type,is_v6
460,A5E3E463,A5E3E463,1,0,90,0
461,D071F0AC,D071F0AC,1,0,90,0
462,5E9C40EB,5E9C40EB,1,0,90,0
463,55EFF35F,55EFF35F,1,0,90,0
464,7BCF0B5F,7BCF0B5F,1,0,90,0
465,5C3560DE,5C3560DE,1,0,90,0
466,7B39C07F,7B39C07F,1,0,90,0
467,67753862,67753862,1,0,90,0
468,867A3BD7,867A3BD7,1,0,90,0
469,7284975E,7284975E,1,0,90,0
470,44B7EADF,44B7EADF,1,0,90,0
471,B8A87A7A,B8A87A7A,1,0,90,0
472,2A03B0C0000200D00000000014F2C001,2A03B0C0000200D00000000014F2C001,1,0,90,1
473,A5E3C55C,A5E3C55C,1,0,90,0
474,DD798F0D,DD798F0D,1,0,90,0
475,284D46EE,284D46EE,1,0,90,0
476,4531704C,4531704C,1,0,90,0
477,9A0CF158,9A0CF158,1,0,90,0
478,4531703C,4531703C,1,0,90,0
479,9D076A69,9D076A69,1,0,90,0
480,94428603,94428603,1,0,90,0
481,42558122,42558122,1,0,90,0
482,2A095302FFFF000000000000000011E5,2A095302FFFF000000000000000011E5,1,0,90,1
483,67A43F94,67A43F94,1,0,90,0
484,9B858441,9B858441,1,0,90,0
485,200141D0000A5B220000000000000000,200141D0000A5B220000000000000000,1,0,90,1
486,40E3A1C0,40E3A1C0,1,0,90,0
487,95FF3CAE,95FF3CAE,1,0,90,0
488,4040F013,4040F013,1,0,90,0
489,671C24C8,671C24C8,1,0,90,0
490,B958B105,B958B105,1,0,90,0
491,2D536889,2D536889,1,0,90,0
492,B9DC64F1,B9DC64F1,1,0,90,0
493,6D466442,6D466442,1,0,90,0
494,9DF5E926,9DF5E926,1,0,90,0
495,6A344F8A,6A344F8A,1,0,90,0
496,68C18FCE,68C18FCE,1,0,90,0
497,951C8168,951C8168,1,0,90,0
498,B9CCC561,B9CCC561,1,0,90,0
499,C0A9F374,C0A9F374,1,0,90,0
500,5CCC3782,5CCC3782,1,0,90,0
501,0175EF8E,0175EF8E,1,0,90,0
502,08DBE698,08DBE698,1,0,90,0
503,DB5EA2CA,DB5EA2CA,1,0,90,0
504,681CC041,681CC041,1,0,90,0
505,2B993C90,2B993C90,1,0,90,0
506,BCA6FC2D,BCA6FC2D,1,0,90,0
507,A45C75C5,A45C75C5,1,0,90,0
508,66DB5484,66DB5484,1,0,90,0
509,5CCD8083,5CCD8083,1,0,90,0
510,A7637851,A7637851,1,0,90,0
511,C647325D,C647325D,1,0,90,0
512,9E45F627,9E45F627,1,0,90,0
513,6BB46715,6BB46715,1,0,90,0
514,B9FE1EEE,B9FE1EEE,1,0,90,0
515,4B77962A,4B77962A,1,0,90,0
516,5CCDBAD4,5CCDBAD4,1,0,90,0
517,9F08C1A2,9F08C1A2,1,0,90,0
518,97EC2210,97EC2210,1,0,90,0
519,614AB8EE,614AB8EE,1,0,90,0
520,B96A82FB,B96A82FB,1,0,90,0
521,2D4D44D5,2D4D44D5,1,0,90,0
522,C1B0B666,C1B0B666,1,0,90,0
523,2DEC825F,2DEC825F,1,0,90,0
524,9A353DD7,9A353DD7,1,0,90,0
525,24006180010000D000000000003EE001,24006180010000D000000000003EE001,1,0,90,1
526,C1A82E85,C1A82E85,1,0,90,0
527,6778B269,6778B269,1,0,90,0
528,CFB4C3C5,CFB4C3C5,1,0,90,0
529,681CD166,681CD166,1,0,90,0
530,938BA41E,938BA41E,1,0,90,0
531,54364636,54364636,1,0,90,0
532,48A7D0C2,48A7D0C2,1,0,90,0
533,66443852,66443852,1,0,90,0
534,33FF403A,33FF403A,1,0,90,0
535,678B67A8,678B67A8,1,0,90,0
536,93B6C707,93B6C707,1,0,90,0
537,200119F0B8001AE3540004FFFE4E8ED6,200119F0B8001AE3540004FFFE4E8ED6,1,0,90,1
538,671C247E,671C247E,1,0,90,0
539,44B29345,44B29345,1,0,90,0
540,A7EB7308,A7EB7308,1,0,90,0
541,B63D2088,B63D2088,1,0,90,0
542,679382A1,679382A1,1,0,90,0
